definition,cluster,n_clusters,estimate_pp,se_pp,low_pp,high_pp,p,reference_df
legacy_primary,player,1114,3.1492562556783144,1.2758360096832009,0.6486176766992403,5.649894834657388,0.013572372377471323,
legacy_primary,game,7113,3.1492562556783144,1.1889601436221677,0.8188943741788652,5.479618137177764,0.008079045761549672,
legacy_primary,team,30,3.1492562556783144,1.3900742012100333,0.3062352945996147,5.992277216757014,0.03112376808668998,29.0
legacy_primary,date,940,3.1492562556783144,1.226331882668017,0.7425878222490825,5.555924689107545,0.010381526211617732,939.0
legacy_primary,player+game,1114+7113,3.1492562556783144,1.3156427255517906,0.5705965135968043,5.727915997759824,0.016679306818063403,
legacy_primary,team+date,30+940,3.1492562556783144,1.415369695439211,0.25450019998970386,6.044012311366925,0.0340178702155881,29.0
harmonized_linear,player,1114,1.7746566172121114,1.2884002816430529,-0.7506079348082718,4.299921169232494,0.16838523862261467,
harmonized_linear,game,7113,1.7746566172121114,1.1821090583670006,-0.5422771371872095,4.091590371611432,0.13328754521670702,
harmonized_linear,team,30,1.7746566172121114,1.291894614866178,-0.867564543623808,4.416877778048031,0.18006597975941457,29.0
harmonized_linear,date,940,1.7746566172121114,1.2137819893528092,-0.6073827312919989,4.156695965716222,0.14405155806119468,939.0
harmonized_linear,player+game,1114+7113,1.7746566172121114,1.313416621212169,-0.7996399603637395,4.348953194787962,0.1766391580366461,
harmonized_linear,team+date,30+940,1.7746566172121114,1.3027845564213054,-0.8898369748934474,4.4391502093176705,0.18362140561760704,29.0
